Taxonomy	10D	11D	12D	13D	14D	15D	16D	18D	20D	22D	24D	26D	10F	11F	12F	13F	14F	15F	16F	18F	20F	22F	24F	26F	0	1	2	3	4	5	6	8	10	12	14	16
Actinobacteriota	0.050483139	0.070400316	0.071879314	0.090120292	0.092092289	0.121376454	0.070400316	0.077302307	0.087655295	0.107671071	0.062808125	0.065766121	0.051863538	0.061230527	0.069907316	0.046243345	0.046736344	0.069808716	0.027607967	0.092092289	0.028889765	0.036679156	0.028002366	0.065174522	0.039834352	0.06685072	0.070597515	0.07493591	0.038355354	0.049398541	0.068231118	0.054328535	0.068822717	0.142378229	0.065568921	0.056990732
Bacteroidota	0.146519424	0.152041018	0.137941234	0.188128574	0.179451785	0.174127391	0.19138237	0.218398738	0.144350227	0.12512325	0.188325774	0.264247683	0.148097022	0.10826267	0.171563794	0.246203905	0.194931966	0.132912641	0.113882863	0.131926642	0.076217709	0.055314534	0.111122067	0.131433642	0.145040426	0.119996056	0.131532242	0.290475251	0.207355551	0.1666338	0.140406232	0.127884047	0.079471505	0.09179649	0.100966279	0.173239992
Cyanobacteria	0.400907119	0.319167817	0.290278052	0.413823703	0.325774009	0.27460067	0.136363636	0.305462433	0.463912443	0.55008874	0.431177283	0.387694735	0.37517255	0.387793335	0.34135279	0.212975744	0.288404654	0.255965293	0.090711891	0.238020114	0.597120883	0.712384145	0.665253402	0.629560245	0.44971406	0.414020903	0.316111221	0.248964701	0.19986196	0.179353185	0.100966279	0.448136462	0.647111023	0.534707158	0.503352396	0.492802209
Planctomycetota	0.003253796	0.011141787	0.010550187	0.02524157	0.030664563	0.048215342	0.038552554	0.035298758	0.031650562	0.026030369	0.020311576	0.044567147	0.005718793	0.00838099	0.00798659	0.018339578	0.036974956	0.057385131	0.045355946	0.079372905	0.05846973	0.031058963	0.049004141	0.047525143	0.006901992	0.010155788	0.017452179	0.052159337	0.03362256	0.036284756	0.038651154	0.053342536	0.009564189	0.011733386	0.013212384	0.019522777
Alphaproteobacteria	0.319167817	0.339676592	0.376947348	0.18300138	0.26651548	0.270459475	0.486886216	0.29984224	0.164070203	0.121770854	0.189903372	0.132715441	0.333957799	0.348944981	0.330408204	0.347367383	0.327055808	0.390751331	0.634884638	0.336126997	0.194734766	0.112305265	0.087753895	0.057680931	0.286334056	0.303096036	0.350916979	0.245119306	0.378919345	0.454052455	0.556793532	0.240189312	0.111122067	0.126405048	0.211891146	0.166140801
Gammaproteobacteria	0.057878131	0.076414908	0.0834155	0.081147703	0.068033918	0.072668113	0.056793532	0.032537961	0.075626109	0.045158746	0.073062512	0.059159929	0.065273122	0.06704792	0.062512325	0.086767896	0.072273713	0.067146519	0.06625912	0.026326168	0.013902583	0.011141787	0.017747979	0.024058371	0.053243936	0.062315125	0.073752711	0.050778939	0.093275488	0.080358904	0.070893315	0.03352396	0.060638927	0.072273713	0.083809899	0.060737527
Thermoplasmatota	0.000591599	0.001281798	0.001183199	0.0001972	0.003056596	0.003943995	0.000591599	0	9.86E-05	0	0	0	0.000690199	0.000887399	0.000690199	0.004141195	0.002366397	0.003253796	0.002070598	0	0	0	0	0	0.0003944	0.000591599	0.002563597	0.001577598	0.007296391	0.003845395	0.000591599	0	9.86E-05	0	0	0
Verrucomicrobiota	0.004239795	0.00847959	0.007789391	0.007394991	0.007592191	0.006901992	0.004239795	0.010451587	0.014001183	0.010550187	0.015085782	0.032340761	0.004732794	0.005718793	0.004634194	0.013015184	0.006014593	0.004732794	0.005028594	0.011733386	0.023565372	0.03303096	0.031551962	0.030861763	0.003943995	0.007394991	0.010451587	0.009465589	0.008972589	0.005324394	0.006408992	0.023466772	0.017550779	0.010352988	0.011536186	0.024354171
Others	0.01695918	0.021396174	0.020015776	0.010944587	0.026819168	0.027706567	0.014789982	0.020705975	0.018635378	0.013606784	0.019325577	0.013508184	0.014494183	0.011733386	0.010944587	0.02494577	0.02524157	0.018043778	0.014198383	0.084401499	0.007099191	0.00808519	0.009564189	0.013705384	0.014592782	0.015578781	0.026621968	0.026523368	0.032340761	0.02474857	0.01705778	0.019128377	0.005620193	0.010352988	0.009662788	0.006211793
