Taxonomy	19/06/2023	23/06/2023	27/06/2023	01/07/2023	05/07/2023	10/07/2023	13/07/2023	17/07/2023	21/07/2023	25/07/2023	30/07/2023
Actinobacteriota	0.054328535	0.092979688	0.056596332	0.051271938	0.068625518	0.077105107	0.069414317	0.071977914	0.119108657	0.10845987	0.103332676
Bacteroidota	0.096332084	0.373693552	0.239006113	0.210905147	0.152139617	0.223230132	0.230625123	0.167816999	0.246203905	0.19157957	0.163084204
Cyanobacteria	0.573654112	0.124235851	0.113981463	0.06645632	0.40011832	0.117629659	0.138237034	0.153618616	0.322323013	0.197298363	0.164760402
Planctomycetota	0.019818576	0.010155788	0.004141195	0.025635969	0.040820351	0.003450996	0.011536186	0.014789982	0.014888582	0.002859397	0.01666338
Alphaproteobacteria	0.19207257	0.291165451	0.460264248	0.400709919	0.197396963	0.485801617	0.4169789	0.340563991	0.151548018	0.38315914	0.354269375
Gammaproteobacteria	0.039439953	0.089725892	0.087063696	0.120390456	0.104318675	0.072766713	0.0833169	0.092782489	0.085781897	0.078485506	0.072963912
Thermoplasmatota	0.002169197	0.001873398	0.018931177	0.037172155	0.009366989	0.001577598	0.00847959	0.039637152	0.00808519	0.011536186	0.013015184
Verrucomicrobiota	0.011733386	0.002464997	0.00867679	0.070991915	0.013310984	0.003845395	0.021593374	0.086274896	0.040425951	0.012522185	0.084500099
Others	0.010451587	0.013705384	0.011338986	0.01646618	0.013902583	0.014592782	0.019818576	0.032537961	0.011634786	0.014099783	0.027410767
