Taxonomy	G3	G4	G6	G7	G8	G9	G11	G12	G13	G14	G15	G16	G17	G18	G19	J3	J4	J6	J7	J8	J9	J11	J12	J13	J14	J15	J16	J17	J18	J19	2	3	6	8	10	12	17	19	21	23	25	27	29	31	33
Actinobacteriota	0.029086965	0.01656478	0.01656478	0.013902583	0.018339578	0.012029186	0.024452771	0.010155788	0.010155788	0.00847959	0.007690791	0.015677381	0.009958588	0.021297574	0.01705778	0.063301124	0.030565963	0.005817393	0.00828239	0.012127785	0.015973181	0.041017551	0.011240387	0.01626898	0.011043187	0.01656478	0.011733386	0.008972589	0.020508775	0.011240387	0.019424177	0.010451587	0.006014593	0.004239795	0.003450996	0.007296391	0.004436995	0.001577598	0.001281798	0.004732794	0.004436995	0.006507592	0.003746796	0.010747387	0.013606784
Bacteroidota	0.20873595	0.316111221	0.234864918	0.202918556	0.223920331	0.052750937	0.090711891	0.578386906	0.259416289	0.232597121	0.175704989	0.211891146	0.200453559	0.303884835	0.328239006	0.271346874	0.087951094	0.230920923	0.157365411	0.093176888	0.05827253	0.202425557	0.336718596	0.330408204	0.327647407	0.254486295	0.20804575	0.205186354	0.244527707	0.096825084	0.154407415	0.129363045	0.164661802	0.29155985	0.32518241	0.263458884	0.143364228	0.142575429	0.152731217	0.140603431	0.119010057	0.157759811	0.204693354	0.187043976	0.218398738
Cyanobacteria	0.019818576	0.020410176	0.013310984	0.005521593	0.00818379	0.001084599	0.001084599	0.000492999	0.0003944	0.007394991	0.001183199	0.022973772	0.042102149	0.11634786	0.060836127	0.159929008	0.005521593	0.006606192	0.004732794	0.003549596	0.002070598	0.003352396	0.001281798	0.002070598	0.004436995	0.004338395	0.057779531	0.073851311	0.115164662	0.018635378	0.014691382	0.007296391	0.006901992	0.004436995	0.00808519	0.029875764	0.006507592	0.004338395	0.005718793	0.030171564	0.03342536	0.081246303	0.106783672	0.077203707	0.077203707
Planctomycetota	0.000492999	0.003549596	0.004831394	0.003056596	0.002070598	9.85999E-05	0	0	0.0002958	9.85999E-05	0	0	0	0	9.85999E-05	0	0.0003944	0.0001972	0	0.0001972	0	0.001084599	0.0002958	9.85999E-05	0.0001972	0	0	9.85999E-05	0	0.000591599	0.0003944	0	9.85999E-05	0.001676198	0.000788799	0.000690199	0.0002958	0.000788799	0.000591599	0	0	0	0	0	0
Alphaproteobacteria	0.567540919	0.445178466	0.555215934	0.594655886	0.614967462	0.823604812	0.747288503	0.311082627	0.576907908	0.54180635	0.596529284	0.67501479	0.562512325	0.476829028	0.465490041	0.438473674	0.644153027	0.550680339	0.659830408	0.74137251	0.780615263	0.651745218	0.531453362	0.512620785	0.448826661	0.572865313	0.582528101	0.570991915	0.551271938	0.556399132	0.539341353	0.607375271	0.522579373	0.434233879	0.471307434	0.481364622	0.639518833	0.67491619	0.749556301	0.68329718	0.7502465	0.687931374	0.599290081	0.669986196	0.560638927
Gammaproteobacteria	0.168901597	0.19148097	0.168112798	0.174521791	0.120390456	0.107868271	0.122855453	0.099487281	0.152829817	0.208933149	0.218793137	0.073161112	0.18339578	0.080260304	0.127785447	0.065864721	0.218595938	0.204298955	0.169295997	0.145632025	0.136166437	0.09988168	0.119010057	0.138532834	0.207355551	0.151646618	0.139617432	0.140800631	0.068033918	0.307040032	0.264543483	0.239893512	0.298363242	0.262670085	0.190987971	0.213764543	0.198678762	0.17540919	0.090120292	0.140504831	0.09169789	0.06645632	0.0832183	0.055018734	0.122954052
Thermoplasmatota	0.000690199	0.000690199	0.001183199	0.0001972	0.001281798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001183199
Verrucomicrobiota	9.85999E-05	0.000492999	0.0003944	0.000591599	0.000492999	0.000591599	0	0	0	0	0	0	0	9.85999E-05	0	0	0	0	0	0.0001972	0	0	0	0	0	0	0	0	9.85999E-05	9.85999E-05	0.0001972	0.000492999	0	0	0.0001972	0.000985999	0	0	0	0	0	0	0.0001972	0	0.0002958
Others	0.004634194	0.005521593	0.005521593	0.004634194	0.010352988	0.001971998	0.013606784	0.0003944	0	0.000690199	9.85999E-05	0.001281798	0.001577598	0.001281798	0.000492999	0.001084599	0.012817985	0.001478998	0.000492999	0.003746796	0.006901992	0.000492999	0	0	0.000492999	9.85999E-05	0.0002958	9.85999E-05	0.0003944	0.009169789	0.007000592	0.005127194	0.001380398	0.001183199	0	0.002563597	0.007197791	0.0003944	0	0.000690199	0.001183199	9.85999E-05	0.002070598	0	0.005718793
