Taxonomy	01/01/2024	09/01/2024	17/01/2024	29/01/2024
Actinobacteriota	0.038651154	0.004338395	0.00838099	0.009169789
Bacteroidota	0.1670282	0.35801617	0.202228357	0.165845001
Cyanobacteria	0.009465589	0.001774798	0.004042595	0.002169197
Planctomycetota	0.0002958	0.0001972	0.000690199	0.001281798
Alphaproteobacteria	0.625517649	0.102642477	0.573555512	0.582133701
Gammaproteobacteria	0.146322224	0.526326168	0.205580753	0.230329324
Thermoplasmatota	0.000788799	0	0.000591599	0
Verrucomicrobiota	0.0002958	0.000985999	0.000887399	0.001183199
Others	0.011634786	0.005718793	0.004042595	0.007887991
