sample_id	Group	Chao1	Shannon	Pielou	Simpson
L13	Dry_Micro_Control	323	3.776	0.685	0.9547
L1	Dry_Micro_Control	190	3.576	0.695	0.9462
L9	Dry_Micro_Control	313	3.685	0.673	0.9519
L5	Dry_Micro_Control	287	3.643	0.666	0.9467
L17	Dry_Micro_Control	178	3.421	0.672	0.9349
L14	Dry_Micro_Low	210	3.749	0.712	0.9571
L2	Dry_Micro_Low	297	3.839	0.701	0.964
L10	Dry_Micro_Low	345	3.808	0.695	0.9559
L6	Dry_Micro_Low	249	3.308	0.63	0.9336
L18	Dry_Micro_Low	392	3.965	0.686	0.96
L15	Dry_Micro_Medium	172	3.654	0.713	0.9476
L3	Dry_Micro_Medium	129	3.171	0.658	0.9222
L11	Dry_Micro_Medium	220	3.598	0.677	0.9457
L7	Dry_Micro_Medium	241	3.508	0.664	0.9307
L19	Dry_Micro_Medium	296	3.996	0.706	0.9629
L16	Dry_Micro_High	235	3.714	0.705	0.9465
L4	Dry_Micro_High	113	3.344	0.707	0.9466
L12	Dry_Micro_High	171	3.268	0.651	0.9151
L8	Dry_Micro_High	249	3.72	0.703	0.9573
L20	Dry_Micro_High	133	3.286	0.675	0.933
