Group	Order	Zeta_diversity	Zeta_diversity_SD
Wet_Meso_Control	1	1	0.158063413366133
Wet_Meso_Control	2	0.540882307910026	0.0548577332433241
Wet_Meso_Control	3	0.440163498500942	0.037629130993094
Wet_Meso_Control	4	0.390342460159385	0.0277341043938437
Wet_Meso_Control	5	0.35930972623664	0.0214681419397262
Wet_Meso_Control	6	0.337592548067048	0.0169013491788436
Wet_Meso_Control	7	0.321160527668845	0.012914818136802
Wet_Meso_Control	8	0.307847139091918	0.0088912141065166
Wet_Meso_Low	1	1	0.283833724050105
Wet_Meso_Low	2	0.598307000245931	0.0536262649234076
Wet_Meso_Low	3	0.505946230232649	0.0425756533192824
Wet_Meso_Low	4	0.457018893425524	0.0360763898232607
Wet_Meso_Low	5	0.424042793548181	0.0313574433442082
Wet_Meso_Low	6	0.398989667631572	0.0267883894791674
Wet_Meso_Low	7	0.378885253217491	0.0218510458435119
Wet_Meso_Low	8	0.362213983447553	0.0161596596018397
Wet_Meso_Medium	1	1	0.233620507639025
Wet_Meso_Medium	2	0.559228552681362	0.0497753547321007
Wet_Meso_Medium	3	0.468076655329872	0.038219320269891
Wet_Meso_Medium	4	0.419689614138697	0.0286635180376952
Wet_Meso_Medium	5	0.387056047376776	0.021918218448063
Wet_Meso_Medium	6	0.362995520952758	0.0174338913362809
Wet_Meso_Medium	7	0.344823692855414	0.0139340115862571
Wet_Meso_Medium	8	0.331048713812975	0.0101625460110477
Dry_Meso_Control	1	1	0.700122236485259
Dry_Meso_Control	2	0.599534460491015	0.0947522937331751
Dry_Meso_Control	3	0.497123785364959	0.0930516012237926
Dry_Meso_Control	4	0.437953151008994	0.0811579428631783
Dry_Meso_Control	5	0.401908692525131	0.0721636562272672
Dry_Meso_Control	6	0.373813648259502	0.0593411693360289
Dry_Meso_Control	7	0.355621696613908	0.0527062272129208
Dry_Meso_Control	8	0.336897208189544	0.0428225676860126
Dry_Meso_Control	9	0.32452387572566	0.0374996516914039
Dry_Meso_Control	10	0.314022411630303	0.0307573428003386
Dry_Meso_Control	11	0.306739215546785	0.0228686984421947
Dry_Meso_Control	12	0.299263493551384	0.0160043005714337
Dry_Meso_Control	13	0.292786421499293	0.00928331150373259
Dry_Meso_Low	1	1	0.201991776432675
Dry_Meso_Low	2	0.478369619376905	0.132779834651576
Dry_Meso_Low	3	0.362232048962743	0.103338493666864
Dry_Meso_Low	4	0.302002842070783	0.0765918168430956
Dry_Meso_Low	5	0.267040603252571	0.0582534952808046
Dry_Meso_Low	6	0.245664829374905	0.0519358268840266
Dry_Meso_Low	7	0.222789479522274	0.0360227052807291
Dry_Meso_Low	8	0.208293521003164	0.0319707491942274
Dry_Meso_Low	9	0.196144060473504	0.0271610149630466
Dry_Meso_Low	10	0.185714805840144	0.0243551810840696
Dry_Meso_Low	11	0.176336654261283	0.0199848702753854
Dry_Meso_Low	12	0.168679095569852	0.0162804338946435
Dry_Meso_Low	13	0.161823062558357	0.0119795702987511
Dry_Meso_Medium	1	1	0.314585254546379
Dry_Meso_Medium	2	0.529478829465001	0.0914698299623099
Dry_Meso_Medium	3	0.438801045768817	0.0724644249166497
Dry_Meso_Medium	4	0.391972195741092	0.05832608221078
Dry_Meso_Medium	5	0.367451526488947	0.0508646032616224
Dry_Meso_Medium	6	0.348744730871669	0.0455875731663516
Dry_Meso_Medium	7	0.336465606780431	0.0385832462858363
Dry_Meso_Medium	8	0.327189526544948	0.0353386977643648
Dry_Meso_Medium	9	0.318605457410944	0.0318240839028199
Dry_Meso_Medium	10	0.311972450239106	0.028121736965488
Dry_Meso_Medium	11	0.306238149966653	0.0245209582079071
Dry_Meso_Medium	12	0.301291577031086	0.0202507289986559
Dry_Meso_Medium	13	0.296639040849084	0.0150912167953085
