Group	Order	Zeta_diversity	Zeta_diversity_SD
Wet_Background	1	1	0.162149023980271
Wet_Background	2	0.514108055816373	0.0429923757301318
Wet_Background	3	0.426843909779944	0.0333619982551509
Wet_Background	4	0.384762527297902	0.0275950221188892
Wet_Background	5	0.359078148810147	0.0229441868689424
Wet_Background	6	0.341104701088661	0.0190117836934476
Wet_Background	7	0.327303570698449	0.0156556989067436
Wet_Background	8	0.31601021519944	0.0127073914999096
Wet_Background	9	0.306373886590027	0.00993231104139578
Wet_Background	10	0.297908277533065	0.00702607985620498
Dry_Background	1	1	0.136305304098205
Dry_Background	2	0.354704418704419	0.0691826067582417
Dry_Background	3	0.272285714285714	0.04307079022402
