Sample	Group
L13	Dry_Micro_Control
L1	Dry_Micro_Control
L9	Dry_Micro_Control
L5	Dry_Micro_Control
L17	Dry_Micro_Control
L14	Dry_Micro_Low
L2	Dry_Micro_Low
L10	Dry_Micro_Low
L6	Dry_Micro_Low
L18	Dry_Micro_Low
L15	Dry_Micro_Medium
L3	Dry_Micro_Medium
L11	Dry_Micro_Medium
L7	Dry_Micro_Medium
L19	Dry_Micro_Medium
L16	Dry_Micro_High
L4	Dry_Micro_High
L12	Dry_Micro_High
L8	Dry_Micro_High
L20	Dry_Micro_High
