Group	Order	Zeta_diversity	Zeta_diversity_SD
Dry_Micro_Control	1	1	0.192493328960037
Dry_Micro_Control	2	0.478022794222554	0.055348425132893
Dry_Micro_Control	3	0.412536222935458	0.048658153961831
Dry_Micro_Control	4	0.38013268654587	0.0394698786021354
Dry_Micro_Low	1	1	0.225723324759113
Dry_Micro_Low	2	0.450057067868091	0.0696257811506708
Dry_Micro_Low	3	0.34559023513146	0.0523743179553647
Dry_Micro_Low	4	0.290103092783505	0.0427127770586719
Dry_Micro_Medium	1	1	0.306836538679853
Dry_Micro_Medium	2	0.446166284591452	0.0488055028668471
Dry_Micro_Medium	3	0.371237826225955	0.0487746300736096
Dry_Micro_Medium	4	0.345430107526882	0.0313780041127117
Dry_Micro_High	1	1	0.242615593094182
Dry_Micro_High	2	0.476308083543363	0.0591569416752077
Dry_Micro_High	3	0.387356448275396	0.0422449036097473
Dry_Micro_High	4	0.338025867937372	0.0282440961494309
