SampleID	Chlorophyll
10D	109.9165
11D	75.0235
12D	79.167
13D	74.1115
14D	37.5995
15D	22.953
16D	45.242
18D	90.106
20D	53.3855
22D	37.724
24D	26.4865
26D	23.817
10F	116.437
11F	84.7495
12F	68.704
13F	92.1825
14F	71.5835
15F	35.4835
16F	42.72
18F	68.295
20F	58.4405
22F	32.326
24F	29.033
26F	23.55
10E	105.915
11E	84.823
12E	75.6815
13E	61.199
14E	39.39
15E	28.2485
16E	35.1915
18E	73.7225
20E	38.2415
22E	26.95
24E	18.521
26E	10.3365
